Frequency (Hz)	DB(|Vgain(V_METER.VM1,1,V_METER.VM2,1)|) : Schematic 1.AP_HB	DB(|Vgain(V_METER.VM3,1,V_METER.VM4,1)|) : Schematic 1.AP_HB
100	-0.10412	-0.114213
125.893	-0.104392	-0.0712755
158.489	-0.125091	-0.023547
199.526	-0.170335	0.0387969
251.189	-0.248904	0.128176
316.228	-0.37534	0.261447
398.107	-0.571259	0.461702
501.187	-0.866171	0.759393
630.957	-1.29644	1.19151
794.328	-1.90074	1.79716
1000	-2.71134	2.60897
1258.93	-3.74371	3.64275
1584.89	-4.98973	4.89078
1995.26	-6.41893	6.32303
2511.89	-7.98613	7.89498
3162.28	-9.64023	9.55639
3981.07	-11.3295	11.2567
5011.87	-13.0028	12.9461
6309.57	-14.6086	14.5745
7943.28	-16.0952	16.0908
10000	-17.4143	17.4462
12589.3	-18.529	18.6007
15848.9	-19.4221	19.5323
19952.6	-20.1009	20.2426
25118.9	-20.5925	20.7536
30000	-20.8675	21.0327
